HelpAlly	/mf ally - Attempt to ally with a faction.
HelpAutoclaim	/mf autoclaim - Toggle auto claim, making land claiming easier.
HelpBreakAlliance	/mf breakalliance - Break an alliance with a faction.
HelpBypass	/mf bypass - Bypass protections.
HelpChat	/mf chat - Toggle faction chat.
HelpCheckAccess	/mf checkaccess - Check who has access to a locked block.
HelpCheckClaim	/mf checkclaim - Check if land is claimed.
HelpClaim	/mf claim - Claim land for your faction.
HelpConfigSet	/mf config set (option) (value) - Set a config value.
HelpConfigShow	/mf config show - Show config values.
HelpCreate	/mf create (name) - Create a new faction.
HelpDeclareIndependence	/mf declareindependence - Declare independence from your liege.
HelpDeclareWar	/mf declarewar - Declare war against another faction.
HelpDemote	/mf demote - Demote an officer to member status.
HelpDesc	/mf desc (desc) - Set your faction description.
HelpDisband	/mf disband - Disband your faction (must be owner).
HelpDuelAccept	/mf duel accept (<optional>player)
HelpDuelCancel	/mf duel cancel
HelpDuelChallenge	/mf duel challenge (player) (<optional>time limit in seconds)
HelpEditLaw	/mf editlaw - Edit an already existing law in your faction.
HelpForce	/mf force - Force the plugin to perform certain actions.
HelpForceDemote	/mf force demote (player)
HelpForceJoin	/mf force join 'player' 'faction2'
HelpForceKick	/mf force kick (player)
HelpForceLoad	/mf force load
HelpForcePeace	/mf force peace 'faction1' 'faction2'
HelpForcePower	/mf force power 'player' 'number'
HelpForceRenounce	/mf force renounce (faction)
HelpForceSave	/mf force save
HelpGateCancel	/mf gate cancel
HelpGateCreate	/mf gate create (<optional>name)
HelpGateList	/mf gate list
HelpGateName	/mf gate name (<optional>name)
HelpGateRemove	/mf gate remove
HelpGrantAccess	/mf grantaccess - Grant someone access to a locked block.
HelpGrantIndependence	/mf grantindependence - Grant a vassal vaction independence.
HelpHelp	/mf help # - Show lists of useful commands.
HelpHome	/mf home - Teleport to your faction home.
HelpInfo	/mf info - See your faction or another faction's information.
HelpInvite	/mf invite (player) - Invite a player to your faction.
HelpInvoke	/mf invoke (ally) (enemy) - Call an allied faction into a war.
HelpJoin	/mf join (faction) - Join a faction if you've been invited.
HelpKick	/mf kick - Kick a player from your faction.
HelpLaws	/mf laws - View the laws of your faction.
HelpLeave	/mf leave - Leave your current faction.
HelpList	/mf list - List all factions on the server.
HelpLock	/mf lock - Lock a chest or door.
HelpMakePeace	/mf makepeace - Send peace offer to another faction.
HelpMembers	/mf members - List the members of your faction or another faction.
HelpPower	/mf power - Check your power level.
HelpPromote	/mf promote - Promote a player to officer status.
HelpRemoveLaw	/mf removelaw - Remove a law from your faction.
HelpRename	/mf rename - Rename your faction
HelpResetPowerLevels	/mf resetpowerlevels - Reset player power records and faction cumulative power levels.
HelpRevokeAccess	/mf revokeaccess - Revoke someone's access to a locked block.
HelpSetHome	/mf sethome - Set your faction home.
HelpSwearFealty	/mf swearfealty - Swear fealty to a faction.
HelpTransfer	/mf transfer - Transfer ownership of your faction to another player.\n
HelpUnclaim	/mf unclaim - Unclaim land for your faction.
HelpUnclaimall	/mf unclaimall - Unclaim all land for your faction.
HelpUnlock	/mf unlock Unlock a chest or door.
HelpVassalize	/mf vassalize - Offer to vassalize a faction.
HelpVersion	/mf version - Check plugin version.
HelpWho	/mf who - View the faction info a specific player.
HomeClaimedByAnotherFaction	Home was claimed by another faction, and has been lost.
HomeIsInUnclaimedChunk	Home is in an unclaimed chunk, and is unavailable
HourlySaveAlert	Medieval Factions is saving. This will happen every hour.
IntegerSet	Integer set!
InvitationExpired	Your invitation to %s has expired!.
InvitationSent	Invitation sent!
KeysLoaded	Keys loaded: %d
LandAlreadyClaimedBy	This land is already claimed by
LandAlreadyClaimedByYourFaction	This land is already claimed by your faction!
LandClaimedBy	This land is claimed by %s.
LandClaimedUsingAdminBypass	Land unclaimed using admin bypass!
LandIsNotClaimed	This land isn't claimed!
LandIsUnclaimed	This land is unclaimed.
LandNotCurrentlyClaimed	This land is not currently claimed!
LandUnclaimed	Land unclaimed.
LawAdded	Law added!
LawEdited	Law edited!
LawRemoved	Law removed!
LawsTitle	 == Laws of %s ==
LeverSuccessfullyLinked	Creating Gate 4/4: Lever successfully linked.
Liege	Liege: %s
ListLegend	P: power, M: members, L: land
LoadingClaimedChunks	Loading claimed chunks...
LoadingLockedBLocks	Loading locked blocks...
LoadingPlayerPowerRecords	Loading player power records...
LockRemovalError	An error has occurred during lock removal.
Locked	Locked!
LockedBlockSuccessfullyLoaded	Locked block successfully loaded.
LockedBy	Locked by %s
LockingCancelled	Locking cancelled!
MaterialsMismatch1	Error placing point 1: Materials mismatch.
MaterialsMismatch2	Error placing point 2: Materials mismatch.
MedievalFactionsStringRight	Medieval-Factions-%s
MedievalFactionsTitle	 == Medieval Factions %s ==
MembersOf	Members of %s
MissingFactionGatesJSONCollection	Could not load gates because the collection 'factionGates' did not exist in the factions JSON file. Are you upgrading from a previous version? Setting default.
MovementDetectedTeleportCancelled	Movement Detected. Teleport cancelled.
MustBeAtWarOrFactionMustBeInactive	Must be at war with target faction or target faction must be inactive!
MustBeInFaction	Sorry, you must be in a faction to use this command.
MustBeOwner	Sorry, you must be the owner of a faction to use this command.
MustOwnFactionOrBeOfficer	You have to own a faction or be an officer of a faction to use this command.
MustTransferOwnership	Sorry! You must transfer ownership or kick everyone in your faction to leave.
Name	Name: %s
NameAlreadyTaken	That name is already taken!
NoBlockDetectedToCheckForGate	No block detected to check for gate.
NoFactionsDesignatedSingleQuotesRequired	No factions designated. Must be designated inside single quotes!
NoLongerBypassingProtections	You are no longer bypassing protections provided by Medieval Factions.
NoLongerInFactionChat	You are no longer in faction chat!
NoVassalOrLiegeReferences	There were no vassal or liege references associated with that faction.
NotAMemberOfAnyFaction	You are not a member of any faction.
NotAVassalOfAFaction	You aren't a vassal of a faction!
NotAnAlly	%s isn't an ally of yours!
NotAtWarWith	You aren't at war with %s
NotEnoughArgumentsDesignatedSingleQuotesRequired	Not enough arguments designated. Must be designated inside single quotes!
NotTheOwnerOfThisBlock	You are not the owner of this block!
NotTheOwnerOfThisFaction	You are not the owner of this faction!
NowBypassingProtections	You are now bypassing protections provided by Medieval Factions.
NowSpeakingInFactionChat	You are now speaking in faction chat!
OnlyPlayersCanUseCommand	Only players can use this command!
OnlyUseLeversInClaimedTerritory	Error: Can only use levers in claimed territory.
Owner	Owner: %s
OwnerShipTransferredTo	Ownership transferred to %s
OwnershipTransferred	Ownership of %s has been transferred to you.
PermissionNeeded	Sorry! In order to use this command, you need the following permission: ''%s'
PlayerAlreadyDueling	%s is already duelling someone!
PlayerAlreadyInFaction	That player is already in a faction, sorry!
PlayerAlreadyOfficer	Player is already an officer!
PlayerAndDesiredPowerSingleQuotesRequirement	Player and desired power must be designated inside single quotes!
PlayerByNameNotFound	Sorry! Player by the name of %s could not be found.
PlayerCantBePromotedBecauseOfLimit	Player can't be promoted because you have reached your limit! Limit: %d
PlayerDemoted	Player demoted!
PlayerIsNotInAFaction	That player isn't in a faction.
PlayerIsNotInYourFaction	That player isn't in your faction!
PlayerIsNotMemberOfFaction	That player isn't a member of your faction!
PlayerIsNotOfficerOfFaction	That player isn't an officer in your faction!
PlayerNotFound	Player not found!
PlayerPowerRecordsLoaded	Player power records loaded.
PlayerPromoted	Player promoted!
PleaseWaitGate	This gate is %s, please wait.
PluginDisabled	Medieval Factions plugin disabled.
PluginDisabling	Medieval Factions plugin disabling....
PluginEnabled	Medieval Factions plugin enabled.
PluginEnabling	Medieval Factions plugin enabling....
PluginLoading	Medieval Factions plugin is loading...
PluginSaving	Medieval Factions plugin is saving...
Point1PlacementSuccessful	Creating Gate 1/4: Point 1 placed successfully.
Point2PlacedSuccessfully	Creating Gate 2/4: Point 2 placed successfully.
Population	Population: %d
PowerHasDecayed	Your power has decayed by %d since you last logged out. Your power is now %d.
PowerLevel	Power Level: %s
PowerLevelHasBeenSetTo	The power level of that player has been set to
PowerLevelHasIncreased	Your power level has increased!
PowerLevelResetting	Power level resetting...
ProblemLoadingClaimedChunks	There was a problem loading the claimed chunks!
ProblemLoadingFactions	There was a problem loading the factions!
ProblemLoadingPowerRecords	There was a problem loading the player power records!
PromotedToOfficer	You have been promoted to officer status in your faction!
RadiusRequirement	Radius must be between 0 and %d.
RemovedGate	Removed gate '%s'.
ResettingIndividualPowerRecords	Resetting individual power records.
RightClickCheckAccess	Right click a locked block to check who has access to it! Type '/mf checkaccess cancel' to cancel!
RightClickGrantAccess	Right click a chest or door to grant %s access. Type /mf grantaccess cancel to cancel this.
RightClickLock	Right click a chest or door to lock it! (Type /mf lock cancel to cancel)
RightClickRevokeAccess	Right click a locked block to revoke this player's access to it! Type '/mf revokeaccess cancel' to cancel!
RightClickUnlock	Right click a chest or door to unlock it! (Type /mf unlock cancel to cancel)
SchedulingHourlyAutoSave	Scheduling hourly auto save...
SchedulingPowerDecrease	Scheduling power decrease...
SchedulingPowerIncrease	Scheduling power increase...
SingleQuotesAlliedWarring	Allied faction and warring faction must be designated inside single quotes!
StringSet	String set!
SubCommands	Sub-commands:
SuccessFactionMemberRemoval	Success! If the player was in a faction, they are no longer a member.
SuccessForceJoin	Success! Player was forced to join faction.
SuccessOfficerRemoval	Success! If player was considered an officer in any faction, they are no longer.
SuccessReferencesRemoved	 references have been successfully removed!
SuccessfulDisbandment	%s has been successfully disbanded.
SupportedLanguageIDList	Supported Language IDs: %s
SurroundedChunkProtected	Target faction has claimed the chunks to the north, east, south and west of this chunk! It cannot be conquered!
TargetBlockNotPartOfGate	Target block is not part of a gate.
TargetFactionNotOverClaiming	Target faction does not have more land than their demesne limit!
TeleportingAlert	Teleporting in 3 seconds...
ThreeBlockRequirement	Error placing point 2: Gate must be 3 blocks or taller.
TriggerBlockNotLever	Trigger block was not a lever. Cancelled gate placement.
UsageAddLaw	Usage: /mf addlaw (new law)
UsageAlly	Usage: /mf ally (faction-name)
UsageBreakAlliance	Usage: /mf breakalliance (faction-name)
UsageClaimRadius	Usage: /mf claim (radius)
UsageConfigSet	Usage: /mf config set (option) (value)
UsageCreate	Usage: /mf create [faction-name]
UsageDeclareWar	Usage: /mf declarewar (faction-name)
UsageDemote	Usage: /mf demote (player-name)
UsageDesc	Usage: /mf desc (description)
UsageEditLaw	Usage: /mf editlaw (number) (edited law)
UsageForceDemote	Usage: /mf force demote (player)
UsageForceJoin	Usage: /mf force join 'player' 'faction'
UsageForceKick	Usage: /mf force kick (player)
UsageForcePeace	Usage: /mf force peace 'faction-1' 'faction-2'
UsageForcePower	Usage: /mf force power 'player' 'number'
UsageForceRenounce	Usage: /mf force renounce 'faction'
UsageGrantAccess	Usage: /grantaccess (player-name)
UsageGrantIndependence	Usage: /mf grantindependence (faction-name)
UsageInvite	Usage: /mf invite (player-name)
UsageInvoke	Usage: /mf invoke '(allied faction name)' '(warring faction)'
UsageJoin	Usage: /mf join (faction-name)
UsageKick	Usage: /mf kick (player-name)
UsageMakePeace	Usage: /mf makepeace (faction-name)
UsagePromote	Usage: /mf promote (player-name)
UsageRemoveLaw	Usage: /mf removelaw (number)
UsageRename	Usage: /mf rename (newName)
UsageRevokeAccess	Usage: /mf revokeaccess (player-name)
UsageSwearFealty	Usage: /mf swearfealty (faction-name)
UsageTransfer	Usage: /mf transfer (player-name)
UsageVassalize	Usage: /mf vassalize (faction-name)
UsageWho	Usage: /mf who (player-name)
ValidSubUsageWhoCommandsShowSet	Valid sub-commands: show, set
Vassals	Vassals: %s
WarningPlayerAlreadyStartedCreatingGate	WARNING: Player has already started creating the gate. startCreatingGate() call ignored.
WasntFound	'%s' wasn't found.
WelcomeBackLastLogout	Welcome back %s! You last logged out %s ago.
WikiLink	Wiki: https://github.com/DansPlugins/Medieval-Factions/wiki
Wilderness	Wilderness
WorldsMismatch1	Error placing point 1: Worlds mismatch.
WorldsMismatch2	Error placing point 2: Worlds mismatch.
CmdHelp	help
CmdCreate	create
CmdList	list
CmdDisband	disband
CmdMembers	members
CmdInfo	info
CmdDesc	desc
CmdInvite	invite
CmdJoin	join
CmdKick	kick
CmdLeave	leave
CmdTransfer	transfer
CmdDeclareWar	declarewar
CmdMakePeace	makepeace
CmdClaim	claim
CmdUnclaim	unclaim
CmdUnclaimall	unclaimall
CmdCheckClaim	checkclaim
CmdAutoClaim	autoclaim
CmdPromote	promote
CmdDemote	demote
CmdPower	power
CmdSetHome	sethome
CmdHome	home
CmdVersion	version
CmdWho	who
CmdAlly	ally
CmdBreakAlliance	breakalliance
CmdRename	rename
CmdLock	lock
CmdUnlock	unlock
CmdGrantAccess	grantaccess
CmdCheckAccess	checkaccess
CmdRevokeAccess	revokeaccess
CmdLaws	laws
CmdAddLaw	addlaw
CmdRemoveLaw	removelaw
CmdEditLaw	editlaw
CmdChat	chat
CmdVassalize	vassalize
CmdSwearFealty	swearfealty
CmdDeclareIndependence	declareindependence
CmdGrantIndependence	grantindependence
CmdGate	gate
CmdGateCancel	cancel
CmdGateCreate	create
CmdGateList	list
CmdGateRemove	remove
CmdGateName	name
CmdDuel	duel
CmdDuelChallenge	challenge
CmdDuelAccept	accept
CmdDuelCancel	cancel
CmdInvoke	invoke
CmdForce	force
CmdForceSave	save
CmdForceLoad	load
CmdForcePeace	peace
CmdForceDemote	demote
CmdForceJoin	join
CmdForceKick	kick
CmdForcePower	power
CmdForceRenounce	renounce
CmdResetPowerLevels	resetpowerlevels
CmdBypass	bypass
CmdConfig	config
CmdConfigShow	show
CmdConfigSet	set
CmdPrefix	prefix
UsagePrefix	Usage: /prefix (new prefix)
PrefixSet	Prefix set!
PrefixTaken	This prefix has already been taken!
